Acanthocalycium spiniflorum
Sedum morganianum
Sedum multiceps
Sedum nevii
Sedum nussbaumerianum
Sedum oaxacanum
Sedum oreganum
Sedum oxypetalum
Sedum pachyphyllum
Sedum palmeri
Sedum polytrichoides
Sedum praealtum
Sedum pulchellum
Sedum pulvinatum
Sedum rubrotinctum
Sedum rupestre
Sedum sarmentosum
Sedum sedoides
Sedum spathulifolium
Sedum stahlii
Sedum suaveolens
Sedum ternatum
Sedum tetractinum
Sedum treleasei
Selenicereus anthonyanus
Selenicereus chrysocardium
Selenicereus pteranthus
Selenicereus validus
Sempervivum Andrenor
Sempervivum Corsair
Sempervivum Dea
Sempervivum Fame
Sempervivum Faramir
Sempervivum Fashion
Sempervivum Glowing
Sempervivum Hairy
Sempervivum Jade
Sempervivum Magnificum
Sempervivum Pacific
Sempervivum Raspberry
Sempervivum Royal
Sempervivum Sanfords
Sempervivum Silver
Sempervivum Tarantula
Sempervivum Unicorn
Sempervivum Westerlin
Sempervivum Windstille
Sempervivum arachnoideum
Sempervivum atlanticum
Sempervivum barbulatum
Sempervivum calcareum
Sempervivum cantabricum
Sempervivum grandiflorum
Sempervivum heuffelii
Sempervivum marmoreum
Sempervivum montanum
Sempervivum pumilum
Sempervivum tectorum
Sempervivum wulfenii
Senecio angulatus
Senecio articulatus
Senecio barbertonicus
Senecio candicans
Senecio crassissimus
Senecio cylindricus
Senecio fulgens
Senecio haworthii
Senecio kleiniiformis
Senecio longiflorus
Senecio macroglossus
Senecio medley-woodii
Senecio oxyriifolius
Senecio peregrinus
Senecio scaposus
Senecio serpens
Senecio tropaeolifolius
Senecio Trident
Shrubby Ice
Sinningia cardinalis
Sinningia leucotricha
Sinocrassula yunnanensis
Smicrostigma viride
Stapelia erectiflora
Stapelia flavopurpurea
Stapelia gettleffii
Stapelia gigantea
Stapelia glanduliflora
Stapelia grandiflora
Stapelia hirsuta
Stapelia leendertziae
Stapelianthus pilosus
Stapelia olivacea
Stapelia schinzii
Stapelia scitula
Stapelia similis
Stapeliopsis pillansii
Stenocactus multicostatus
Stenocereus beneckei
Stenocereus pruinosus
Stenocereus thurberi
Stephania pierrei
Strombocactus disciformis
Tacinga inamoena
Tacinga palmadora
Tacinga subcylindrica
Tacitus bellus
Talinum caffrum
Talinum paniculatum
Tanquana prismatica
Tavaresia angolensis
Tavaresia barklyi
Tecticornia pergranulata
Tephrocactus articulatus
Tephrocactus geometricus
Tetraena fontanesii
Tetragonia tetragonioides
Thompsonella minutiflora
Titanopsis calcarea
Titanopsis hugo-schlechteri
Titanopsis luederitzii
Titanopsis schwantesii
Tradescantia pallida
Tradescantia sillamontana
Tradescantia spathacea
Tradescantia zebrina
Trichodiadema barbatum
Trichodiadema bulbosum
Trichodiadema densum
Trichodiadema intonsum
Trichodiadema marlothii
Tridentea gemmiflora
Tridentea longipes
Tromotriche revoluta
Tulista marginata
Tulista pumila
Turbinicarpus pseudomacrochele
Turbinicarpus pseudopectinatus
Turbinicarpus schmiedickeanus
Turbinicarpus subterraneus
Turbinicarpus valdezianus
Tylecodon buchholzianus
Tylecodon nolteei
Tylecodon paniculatus
Tylecodon schaeferianus
Tylecodon singularis
Uebelmannia buiningii
Uebelmannia pectinifera
Uncarina decaryi
Uncarina leptocarpa
Uncarina roeoesliana
Villadia batesii
Viola columnaris
Viola volcanica
Weberocereus tonduzii
Welwitschia mirabilis
Whitesloanea crassa
x Alworthia
x Cremneria
x Cremnosedum
Xerosicyos danguyi
x Gasteraloe
x Gasterhaworthia
x Graptophytum
x Graptosedum
x Graptoveria
x Mangave
x Pachyveria
x Sedeveria
x Tacipetalum
x Tacisedum
x Taciveria
Yavia cryptocarpa
Yucca aloifolia
Yucca brevifolia
Yucca desmetiana
Yucca gigantea
Yucca gloriosa
Yucca rostrata
Yucca thompsoniana
Zamioculcas zamiifolia
Zygophyllum fabago
NA
